Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event in this window(ms), Entire Average latency per event for the run(ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
576,17543,13669,421.377,6732.2614,7052.158020486111,5760000,7167,7199,7199,6751,6751,6751
577,12738,13667,422.162,6758.0602,7051.648318890814,5770000,7167,7199,7199,6783,6783,6783
578,17953,13673,422.719,6853.5665,7051.305616782007,5780000,7167,7199,7199,6879,6879,6879
579,15432,13676,423.368,6932.57,7051.100546632124,5790000,7167,7199,7199,6943,6943,6943
580,13927,13676,424.087,6963.4765,7050.949470689655,5800000,7167,7199,7199,6975,6975,6975
581,16863,13680,424.681,6835.1161,7050.577984681583,5810000,7167,7199,7199,6847,6847,6847
582,15898,13684,425.31,6965.839,7050.432385051547,5820000,7167,7199,7199,6975,6975,6975
583,14430,13685,426.003,7033.8983,7050.404024699828,5830000,7167,7199,7199,7039,7039,7039
584,15723,13688,426.639,6908.8463,7050.161631335616,5840000,7167,7199,7199,6911,6911,6911
585,16286,13692,427.253,6966.3071,7050.01829025641,5850000,7167,7199,7199,6975,6975,6975
586,16722,13696,427.851,7000.6511,7049.934045904437,5860000,7167,7199,7199,7007,7007,7007
587,18903,13702,428.38,6906.6695,7049.689983645656,5870000,7167,7199,7199,6911,6911,6911
588,15698,13705,429.017,6841.3394,7049.335645918367,5880000,7167,7199,7199,6847,6847,6847
589,15923,13708,429.645,6726.4787,7048.787501697793,5890000,7167,7199,7199,6751,6751,6751
590,15037,13711,430.31,6734.1502,7048.254218135593,5900000,7167,7199,7199,6751,6751,6751
591,17035,13715,430.897,6661.6439,7047.600055160745,5910000,7167,7199,7199,6687,6687,6687
592,17793,13720,431.459,6707.0354,7047.024777027027,5920000,7167,7199,7199,6719,6719,6719
593,15673,13723,432.097,6753.6044,7046.529970320405,5930000,7167,7199,7199,6783,6783,6783
594,14925,13725,432.767,6650.4459,7045.863162121213,5940000,7167,7199,7199,6655,6655,6655
595,17182,13730,433.35,6704.0453,7045.288678319328,5950000,7167,7199,7199,6719,6719,6719
596,15923,13733,433.978,6756.2886,7044.80377885906,5960000,7167,7199,7199,6783,6783,6783
597,12547,13731,434.775,6672.3545,7044.179910720268,5970000,7167,7199,7199,6687,6687,6687
598,15527,13733,435.419,6877.822,7043.901720234114,5980000,7167,7199,7199,6879,6879,6879
599,16366,13737,436.03,6972.5703,7043.7826360601,5990000,7167,7199,7199,6975,6975,6975
600,15797,13740,436.663,6898.4402,7043.540398666667,6000000,7167,7199,7199,6911,6911,6911
601,16835,13744,437.257,6830.0651,7043.185198502496,6010000,7167,7199,7199,6847,6847,6847
602,12019,13741,438.089,6984.9272,7043.0884244186045,6020000,7167,7199,7199,7007,7007,7007
603,16666,13745,438.689,7152.6275,7043.270081260365,6030000,7167,7199,7199,7167,7167,7167
604,13333,13744,439.439,7111.6133,7043.383232284768,6040000,7167,7199,7199,7135,7135,7135
605,18214,13750,439.988,7198.0816,7043.638932066116,6050000,7167,7199,7199,7199,7199,7199
606,17793,13755,440.55,7172.7663,7043.852013531353,6060000,7167,7199,7199,7199,7199,7199
607,15847,13758,441.181,6973.0824,7043.735424382207,6070000,7167,7199,7199,6975,6975,6975
608,16000,13761,441.806,6900.2586,7043.499442763158,6080000,7167,7199,7199,6911,6911,6911
609,18050,13767,442.36,6858.4802,7043.195634482759,6090000,7167,7199,7199,6879,6879,6879
610,16556,13770,442.964,6756.824,7042.726172786885,6100000,7167,7199,7199,6783,6783,6783
611,16977,13775,443.553,6784.7863,7042.304012602292,6110000,7167,7199,7199,6815,6815,6815
612,17331,13779,444.13,6752.3968,7041.830308006536,6120000,7167,7199,7199,6783,6783,6783
613,16051,13782,444.753,6595.0329,7041.101437846656,6130000,7167,7199,7199,6623,6623,6623
614,12919,13781,445.527,6554.5987,7040.309088110749,6140000,7167,7199,7199,6559,6559,6559
615,11441,13776,446.401,6960.2802,7040.178959837398,6150000,7167,7199,7199,6975,6975,6975
616,14641,13778,447.084,6997.2547,7040.109277597403,6160000,7167,7199,7199,7007,7007,7007
617,18484,13783,447.625,6840.8803,7039.786378119935,6170000,7167,7199,7199,6847,6847,6847
618,16260,13787,448.24,6956.4099,7039.651464724919,6180000,7167,7199,7199,6975,6975,6975
619,15552,13789,448.883,7031.9034,7039.638947657512,6190000,7167,7199,7199,7039,7039,7039
620,17482,13794,449.455,6894.0372,7039.404106129033,6200000,7167,7199,7199,6911,6911,6911
621,14925,13796,450.125,7061.4958,7039.439680515298,6210000,7167,7199,7199,7071,7071,7071
622,19011,13802,450.651,7036.5309,7039.435004019293,6220000,7167,7199,7199,7039,7039,7039
623,16977,13806,451.24,6994.8984,7039.363516693419,6230000,7167,7199,7199,7007,7007,7007
624,17391,13810,451.815,6999.545,7039.299704967949,6240000,7167,7199,7199,7007,7007,7007
625,20040,13817,452.315,7033.5734,7039.29054288,6250000,7167,7199,7199,7039,7039,7039
626,14204,13818,453.019,6867.7381,7039.0164974440895,6260000,7167,7199,7199,6879,6879,6879
627,17605,13823,453.587,6503.1559,7038.1618553429025,6270000,7167,7199,7199,6527,6527,6527
628,16638,13826,454.189,6564.1496,7037.407058757962,6280000,7167,7199,7199,6591,6591,6591
629,15797,13829,454.822,6563.78,7036.654074562798,6290000,7167,7199,7199,6591,6591,6591
630,17921,13834,455.38,6420.0277,7035.675302539683,6300000,7167,7199,7199,6431,6431,6431
631,18248,13839,455.928,6495.2297,7034.818811885895,6310000,7167,7199,7199,6495,6495,6495
632,16286,13843,456.542,6426.0456,7033.855563132912,6320000,7167,7199,7199,6431,6431,6431
633,8237,13828,457.756,6771.088,7033.44044849921,6330000,7167,7199,7199,6783,6783,6783
634,8733,13815,458.901,7264.3561,7033.804668769716,6340000,7167,7199,7199,7295,7295,7295
635,15243,13817,459.557,7634.6744,7034.75092031496,6350000,7167,7199,7199,7647,7647,7647
636,16474,13821,460.164,7634.7777,7035.694358647799,6360000,7167,7199,7199,7647,7647,7647
637,9560,13811,461.21,7896.7919,7037.046160125588,6370000,7167,7199,7199,7903,7903,7903
638,19841,13818,461.714,8137.8416,7038.771544827586,6380000,7167,7199,7199,8159,8159,8159
639,16051,13821,462.337,8111.2606,7040.449931455399,6390000,7167,7199,7199,8127,8127,8127
640,17035,13825,462.924,7988.1861,7041.93076921875,6400000,7167,7199,7199,7999,7999,7999
641,18691,13830,463.459,8028.822,7043.470381123245,6410000,7167,7199,7199,8031,8031,8031
642,16638,13834,464.06,8056.8886,7045.048914174455,6420000,7167,7199,7199,8063,8063,8063
643,17636,13839,464.627,7946.1624,7046.450334836703,6430000,7167,7199,7199,7967,7967,7967
644,15360,13841,465.278,7945.2838,7047.846038975155,6440000,7167,7199,7199,7967,7967,7967
645,19455,13847,465.793,7513.9115,7048.568621085271,6450000,7167,7199,7199,7519,7519,7519
646,12870,13845,466.57,6980.2816,7048.462913622291,6460000,7167,7199,7199,7007,7007,7007
647,16025,13848,467.194,6986.0419,7048.366436012365,6470000,7167,7199,7199,7007,7007,7007
648,18975,13854,467.722,6727.8278,7047.871777623457,6480000,7167,7199,7199,6751,6751,6751
649,15151,13856,468.382,6674.5241,7047.29651155624,6490000,7167,7199,7199,6687,6687,6687
650,17482,13860,468.954,6512.993,7046.474506153846,6500000,7167,7199,7199,6527,6527,6527
651,17123,13864,469.538,6544.6023,7045.70358110599,6510000,7167,7199,7199,6559,6559,6559
652,17636,13869,470.105,6566.4887,7044.9685889570555,6520000,7167,7199,7199,6591,6591,6591
653,16474,13872,470.713,6509.7518,7044.148961408882,6530000,7167,7199,7199,6527,6527,6527
654,16556,13876,471.317,6610.702,7043.486198470948,6540000,7167,7199,7199,6623,6623,6623
655,16260,13879,471.932,6661.5315,7042.9030615267175,6550000,7167,7199,7199,6687,6687,6687
656,17857,13883,472.492,6555.6721,7042.160331402439,6560000,7167,7199,7199,6559,6559,6559
657,14224,13884,473.195,6665.0404,7041.586328462709,6570000,7167,7199,7199,6687,6687,6687
658,14556,13885,473.882,6645.4783,7040.984340577507,6580000,7167,7199,7199,6655,6655,6655
